hybrid_ID,porcatus_ancestry,impervious,canopy,y,x
H_AC16,0.1973828,0,64,25.750443,-80.434731
H_AC29,0.2295467,0,64,25.750448,-80.434732
H_AC4,0.2360308,3,66,25.664443,-80.280837
H_AC17,0.2445754,0,64,25.750446,-80.434737
H_AC12,0.281681,3,66,25.664441,-80.280833
H_JJK1948,0.2850752,20,0,25.679003,-80.284423
H_AC13,0.2922649,3,66,25.664447,-80.280839
H_JJK1874,0.2963835,36,16,25.678712,-80.285045
H_MIA806,0.3002859,44,0,25.94622,-80.29937
H_JJK1951,0.3046252,20,0,25.679005,-80.284424
H_AC30,0.3107257,0,64,25.750446,-80.434734
H_JJK1875,0.313214,36,16,25.678718,-80.285041
H_JJK1876,0.3351841,36,16,25.678716,-80.285049
H_JJK1945,0.3679992,0,20,25.724025,-80.279876
H_AC19,0.3683563,0,64,25.750449,-80.434738
H_JJK1949,0.3725322,20,0,25.679007,-80.284426
H_JJK1838,0.3778817,36,16,25.678715,-80.285047
H_JJK1877,0.3804676,36,16,25.678713,-80.28504
H_AC7,0.3854136,3,66,25.664442,-80.280831
H_MIA196,0.386584,0,70,25.642506,-80.287227
H_AC8,0.3890938,3,66,25.664445,-80.280834
H_JJK1836,0.3981177,36,16,25.678716,-80.285042
H_MIA195,0.4099145,0,70,25.6425,-80.287222
H_AC14,0.427834,3,66,25.664442,-80.280832
H_AC5,0.4470712,3,66,25.66444,-80.280833
H_MIA803,0.448873,35,0,25.94599,-80.29938
H_MIA802,0.4522741,35,0,25.94592,-80.29937
H_AC18,0.4553256,0,64,25.750445,-80.434734
H_MIA713,0.4607872,20,0,25.679,-80.284429
H_MIA82,0.4674374,17,21,25.688169,-80.290931
H_MIA49,0.4869469,3,21,25.705,-80.271056
H_MIA76,0.4946567,4,56,25.697631,-80.271878
H_MIA725,0.497883,70,0,25.72135,-80.280275
H_JJK1837,0.5010578,36,16,25.678712,-80.285048
H_MIA808,0.5168465,40,0,25.94461,-80.29932
H_MIA651,0.5191243,10,0,25.705843,-80.297068
H_JJK1947,0.5201161,20,0,25.679004,-80.284428
H_MIA77,0.521406,23,13,25.697575,-80.268622
H_AC20,0.5266917,0,64,25.750441,-80.434737
H_JJK1861,0.5322123,21,0,25.722331,-80.280485
H_AC21,0.5332254,0,64,25.750441,-80.434733
H_MIA637,0.5440977,27,0,25.704327,-80.284174
H_MIA694,0.5467534,41,0,25.715572,-80.280804
H_MIA706,0.554717,43,0,25.717069,-80.275443
H_MIA745,0.5617504,0,63,25.738302,-80.309376
H_MIA636,0.584658,27,0,25.704328,-80.284173
H_MIA705,0.5873305,43,0,25.717062,-80.275447
H_MIA644,0.5986221,10,0,25.705848,-80.297061
H_AC40,0.6010808,44,0,25.689449,-80.158884
H_MIA701,0.6016777,41,0,25.715631,-80.280835
H_JJK1860,0.6229843,21,0,25.722333,-80.280486
H_MIA678,0.6233442,55,0,25.710727,-80.283879
H_AC36,0.636173,44,0,25.689445,-80.158889
H_MIA172,0.6461292,24,36,25.747347,-80.209697
H_MIA750,0.6538305,36,21,25.742565,-80.314548
H_MIA50,0.6547739,1,17,25.704983,-80.271492
H_MIA173,0.6565415,24,36,25.747343,-80.209693
H_JJK3582,0.6693975,1,80,25.706201,-80.296667
H_MIA681,0.6839979,55,0,25.710722,-80.283873
H_MIA669,0.6886072,16,0,25.703548,-80.303452
H_AC34,0.6981885,44,0,25.689447,-80.158887
H_MIA80,0.7008222,10,30,25.700972,-80.263261
H_MIA647,0.7041706,10,0,25.705847,-80.297067
H_JJK3581,0.709874,1,80,25.706206,-80.296669
H_MIA748,0.7189077,36,21,25.742569,-80.314544
H_MIA677,0.7351089,28,13,25.713663,-80.291831
H_MIA744,0.7411191,0,63,25.738303,-80.309378
H_AC32,0.7520161,44,0,25.689444,-80.158883